Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz e NeuRho NeuMx NeuMy NeuMz NeuE Ne2Rho Ne2Mx Ne2My Ne2Mz Ne2E Ne3Rho Ne3Mx Ne3My Ne3Mz Ne3E Ne4Rho Ne4Mx Ne4My Ne4Mz Ne4E Pmin Pmax
     50  0.00000E+00  0.00000E+00  5.67878E-03  2.29600E-20  5.28432E-22 -9.96689E-23  2.81456E-02 -7.22208E-03 -2.68358E-02  9.68675E-13  1.80000E-01  7.91809E-19 -7.91528E-39 -6.92456E-20  1.29221E-12  9.26513E-05 -2.65518E-22  4.72218E-27  6.85481E-26  8.37055E-15  4.03312E-07 -3.69017E-24 -6.51860E-29  1.55947E-29  5.35340E-16  1.79999E-01  7.91805E-19 -5.78401E-31 -6.92453E-20  1.29221E-12  2.58073E-20  6.84464E-11
     51  0.00000E+00  0.00000E+00  5.70042E-03  2.29366E-20  5.17291E-22 -9.30142E-23  2.84392E-02 -7.24859E-03 -2.69306E-02  9.09186E-13  1.80000E-01  7.91809E-19 -8.11292E-39 -6.92456E-20  1.29221E-12  9.15630E-05 -2.67264E-22 -6.65512E-28  7.17271E-26  8.27276E-15  3.95777E-07 -3.78934E-24 -7.77102E-29 -6.98987E-31  5.25366E-16  1.79999E-01  7.91805E-19 -6.03357E-31 -6.92453E-20  1.29221E-12  2.11229E-20  5.03301E-11
     52  0.00000E+00  0.00000E+00  5.72241E-03  2.32660E-20  5.11954E-22 -7.69232E-23  2.87662E-02 -7.27699E-03 -2.70268E-02  8.55460E-13  1.80000E-01  7.91809E-19 -8.32777E-39 -6.92456E-20  1.29221E-12  9.04863E-05 -2.68921E-22 -5.67642E-27  7.82958E-26  8.17602E-15  3.88478E-07 -3.88653E-24 -9.79252E-29 -1.99664E-29  5.15706E-16  1.79999E-01  7.91805E-19 -7.00613E-31 -6.92453E-20  1.29221E-12  1.57670E-20  3.39276E-11
     53  0.00000E+00  0.00000E+00  5.74419E-03  2.38024E-20  5.09440E-22 -5.69375E-23  2.91202E-02 -7.30699E-03 -2.71227E-02  8.09930E-13  1.80000E-01  7.91809E-19 -8.47699E-39 -6.92456E-20  1.29221E-12  8.94216E-05 -2.70494E-22 -8.69344E-27  8.24910E-26  8.08036E-15  3.81419E-07 -3.98290E-24 -9.20380E-29 -3.55939E-29  5.06366E-16  1.79999E-01  7.91805E-19 -8.48226E-31 -6.92453E-20  1.29221E-12  1.11710E-20  2.17325E-11
     54  0.00000E+00  0.00000E+00  5.76579E-03  2.44387E-20  5.07882E-22 -3.36521E-23  2.94958E-02 -7.33755E-03 -2.72178E-02  7.72119E-13  1.80000E-01  7.91809E-19 -8.57482E-39 -6.92456E-20  1.29221E-12  8.83688E-05 -2.71984E-22 -9.76694E-27  8.90290E-26  7.98576E-15  3.74513E-07 -4.07495E-24 -7.81489E-29 -2.82838E-29  4.97220E-16  1.79999E-01  7.91805E-19 -1.01659E-30 -6.92453E-20  1.29221E-12  7.97566E-21  1.86293E-11
     55  0.00000E+00  0.00000E+00  5.78703E-03  2.51015E-20  5.08448E-22 -7.81107E-24  2.98885E-02 -7.36763E-03 -2.73109E-02  7.38612E-13  1.80000E-01  7.91809E-19 -8.55217E-39 -6.92456E-20  1.29221E-12  8.73284E-05 -2.73394E-22 -1.46098E-26  9.55640E-26  7.89226E-15  3.67725E-07 -4.16221E-24 -6.25507E-29 -2.75660E-29  4.88225E-16  1.79999E-01  7.91805E-19 -1.20208E-30 -6.92453E-20  1.29221E-12  5.76488E-21  1.58965E-11
     56  0.00000E+00  0.00000E+00  5.80793E-03  2.57512E-20  5.11317E-22  1.97020E-23  3.02934E-02 -7.39694E-03 -2.74027E-02  7.07563E-13  1.80000E-01  7.91809E-19 -8.57519E-39 -6.92456E-20  1.29221E-12  8.63019E-05 -2.74734E-22 -2.13435E-26  1.01285E-25  7.80000E-15  3.61033E-07 -4.24467E-24 -5.92477E-29 -4.05193E-29  4.79354E-16  1.79999E-01  7.91805E-19 -1.39228E-30 -6.92453E-20  1.29221E-12  4.17588E-21  1.35531E-11
     57  0.00000E+00  0.00000E+00  5.82885E-03  2.63801E-20  5.16563E-22  4.86666E-23  3.07146E-02 -7.42600E-03 -2.74950E-02  6.78848E-13  1.80000E-01  7.91809E-19 -8.59921E-39 -6.92456E-20  1.29221E-12  8.52900E-05 -2.76010E-22 -2.77389E-26  1.07625E-25  7.70906E-15  3.54419E-07 -4.32198E-24 -5.13420E-29 -5.08084E-29  4.70585E-16  1.79999E-01  7.91805E-19 -1.58161E-30 -6.92453E-20  1.29221E-12  2.96962E-21  1.17800E-11
     58  0.00000E+00  0.00000E+00  5.85021E-03  2.69904E-20  5.23953E-22  7.88396E-23  3.11572E-02 -7.45550E-03 -2.75894E-02  6.52548E-13  1.80000E-01  7.91809E-19 -8.53325E-39 -6.92456E-20  1.29221E-12  8.42895E-05 -2.77177E-22 -3.21735E-26  1.17159E-25  7.61916E-15  3.47885E-07 -4.39437E-24 -3.08148E-29 -3.54500E-29  4.61920E-16  1.79999E-01  7.91805E-19 -1.76822E-30 -6.92453E-20  1.29221E-12  2.14113E-21  1.02608E-11
     59  0.00000E+00  0.00000E+00  5.87235E-03  2.75876E-20  5.33759E-22  1.10035E-22  3.16218E-02 -7.48594E-03 -2.76869E-02  6.28831E-13  1.80000E-01  7.91809E-19 -8.56931E-39 -6.92456E-20  1.29221E-12  8.32996E-05 -2.78227E-22 -3.64273E-26  1.25925E-25  7.53020E-15  3.41425E-07 -4.46128E-24  1.01151E-31 -1.93481E-29  4.53350E-16  1.79999E-01  7.91805E-19 -1.95144E-30 -6.92453E-20  1.29221E-12  1.55565E-21  9.12929E-12
     60  0.00000E+00  0.00000E+00  5.89511E-03  2.81530E-20  5.45215E-22  1.42414E-22  3.20987E-02 -7.51653E-03 -2.77865E-02  6.07073E-13  1.80000E-01  7.91809E-19 -8.55691E-39 -6.92456E-20  1.29221E-12  8.23218E-05 -2.79179E-22 -4.32663E-26  1.32973E-25  7.44230E-15  3.35033E-07 -4.52210E-24  2.30453E-29 -8.50959E-30  4.44872E-16  1.79999E-01  7.91805E-19 -2.12867E-30 -6.92453E-20  1.29221E-12  1.11542E-21  8.25094E-12
     61  0.00000E+00  0.00000E+00  5.91838E-03  2.86741E-20  5.58370E-22  1.75970E-22  3.25832E-02 -7.54712E-03 -2.78880E-02  5.86681E-13  1.80000E-01  7.91809E-19 -8.56041E-39 -6.92456E-20  1.29221E-12  8.13567E-05 -2.80040E-22 -5.22388E-26  1.38003E-25  7.35552E-15  3.28723E-07 -4.57714E-24  1.16321E-29 -1.18676E-29  4.36504E-16  1.79999E-01  7.91805E-19 -2.30015E-30 -6.92453E-20  1.29221E-12  8.11608E-22  7.69204E-12
     62  0.00000E+00  0.00000E+00  5.94223E-03  2.91569E-20  5.73154E-22  2.11675E-22  3.30755E-02 -7.57817E-03 -2.79914E-02  5.67698E-13  1.80000E-01  7.91809E-19 -8.49919E-39 -6.92456E-20  1.29221E-12  8.04054E-05 -2.80823E-22 -5.97620E-26  1.40010E-25  7.26995E-15  3.22499E-07 -4.62610E-24  1.13165E-29 -1.02203E-29  4.28251E-16  1.79999E-01  7.91805E-19 -2.46612E-30 -6.92453E-20  1.29221E-12  6.03116E-22  7.26358E-12
     63  0.00000E+00  0.00000E+00  5.96672E-03  2.96086E-20  5.89498E-22  2.49348E-22  3.35795E-02 -7.60957E-03 -2.80973E-02  5.50142E-13  1.80000E-01  7.91809E-19 -8.46805E-39 -6.92456E-20  1.29221E-12  7.94667E-05 -2.81513E-22 -6.67607E-26  1.46204E-25  7.18548E-15  3.16375E-07 -4.66915E-24  2.43875E-29 -4.56157E-29  4.20132E-16  1.79999E-01  7.91805E-19 -2.62787E-30 -6.92453E-20  1.29221E-12  4.55528E-22  6.86558E-12
     64  0.00000E+00  0.00000E+00  5.99208E-03  3.00461E-20  6.07578E-22  2.89192E-22  3.41000E-02 -7.64146E-03 -2.82067E-02  5.34226E-13  1.80000E-01  7.91809E-19 -8.41704E-39 -6.92456E-20  1.29221E-12  7.85380E-05 -2.82088E-22 -7.29855E-26  1.54574E-25  7.10189E-15  3.10363E-07 -4.70631E-24  1.36187E-29 -5.59904E-29  4.12165E-16  1.79999E-01  7.91804E-19 -2.78628E-30 -6.92453E-20  1.29221E-12  3.33430E-22  6.51602E-12
     65  0.00000E+00  0.00000E+00  6.01808E-03  3.04603E-20  6.27467E-22  3.31194E-22  3.46277E-02 -7.67342E-03 -2.83180E-02  5.19532E-13  1.80000E-01  7.91809E-19 -8.28667E-39 -6.92456E-20  1.29221E-12  7.76206E-05 -2.82570E-22 -8.02782E-26  1.63263E-25  7.01929E-15  3.04465E-07 -4.73722E-24  8.22671E-30 -6.68575E-29  4.04352E-16  1.79999E-01  7.91804E-19 -2.94255E-30 -6.92453E-20  1.29221E-12  2.49987E-22  6.16030E-12
     66  0.00000E+00  0.00000E+00  6.04455E-03  3.08428E-20  6.48394E-22  3.75923E-22  3.51568E-02 -7.70520E-03 -2.84301E-02  5.05647E-13  1.80000E-01  7.91809E-19 -8.14959E-39 -6.92456E-20  1.29221E-12  7.67157E-05 -2.82971E-22 -8.63818E-26  1.67938E-25  6.93780E-15  2.98688E-07 -4.76201E-24 -1.78496E-29 -4.90524E-29  3.96703E-16  1.79999E-01  7.91804E-19 -3.09793E-30 -6.92453E-20  1.29221E-12  1.92946E-22  5.80728E-12
     67  0.00000E+00  0.00000E+00  6.07158E-03  3.12030E-20  6.71130E-22  4.23522E-22  3.56897E-02 -7.73700E-03 -2.85436E-02  4.92656E-13  1.80000E-01  7.91809E-19 -8.11205E-39 -6.92456E-20  1.29221E-12  7.58237E-05 -2.83300E-22 -9.44006E-26  1.67919E-25  6.85746E-15  2.93029E-07 -4.78016E-24  6.32695E-30 -3.60010E-29  3.89214E-16  1.79999E-01  7.91804E-19 -3.25358E-30 -6.92452E-20  1.29221E-12  1.53676E-22  5.45834E-12
     68  0.00000E+00  0.00000E+00  6.09933E-03  3.15541E-20  6.95934E-22  4.74152E-22  3.62339E-02 -7.76879E-03 -2.86593E-02  4.80776E-13  1.80000E-01  7.91809E-19 -8.04299E-39 -6.92456E-20  1.29221E-12  7.49438E-05 -2.83552E-22 -1.02646E-25  1.71029E-25  6.77818E-15  2.87492E-07 -4.79188E-24 -3.20503E-30 -2.33275E-29  3.81889E-16  1.79999E-01  7.91804E-19 -3.41034E-30 -6.92452E-20  1.29221E-12  1.26345E-22  5.11735E-12
     69  0.00000E+00  0.00000E+00  6.12782E-03  3.18995E-20  7.22627E-22  5.27811E-22  3.67888E-02 -7.80047E-03 -2.87770E-02  4.69953E-13  1.80000E-01  7.91809E-19 -7.95053E-39 -6.92456E-20  1.29221E-12  7.40741E-05 -2.83712E-22 -1.07305E-25  1.76848E-25  6.69981E-15  2.82082E-07 -4.79730E-24 -6.79969E-30  6.90891E-29  3.74735E-16  1.79999E-01  7.91804E-19 -3.56831E-30 -6.92452E-20  1.29221E-12  1.07112E-22  4.78860E-12
     70  0.00000E+00  0.00000E+00  6.15684E-03  3.22284E-20  7.50605E-22  5.84244E-22  3.73464E-02 -7.83159E-03 -2.88953E-02  4.59776E-13  1.80000E-01  7.91809E-19 -7.84787E-39 -6.92456E-20  1.29221E-12  7.32152E-05 -2.83795E-22 -1.10460E-25  1.80038E-25  6.62240E-15  2.76802E-07 -4.79685E-24  1.32202E-31  2.95532E-28  3.67756E-16  1.79999E-01  7.91804E-19 -3.72795E-30 -6.92452E-20  1.29221E-12  9.35102E-23  4.47536E-12
     71  0.00000E+00  0.00000E+00  6.18635E-03  3.25417E-20  7.79976E-22  6.43880E-22  3.79041E-02 -7.86205E-03 -2.90137E-02  4.50167E-13  1.80000E-01  7.91809E-19 -7.74281E-39 -6.92456E-20  1.29221E-12  7.23685E-05 -2.83810E-22 -1.17370E-25  1.79022E-25  6.54607E-15  2.71660E-07 -4.79114E-24 -9.00108E-29  4.67550E-28  3.60965E-16  1.79999E-01  7.91804E-19 -3.88959E-30 -6.92452E-20  1.29221E-12  8.39708E-23  4.18058E-12
     72  0.00000E+00  0.00000E+00  6.21640E-03  3.28440E-20  8.10788E-22  7.06529E-22  3.84637E-02 -7.89183E-03 -2.91326E-02  4.41163E-13  1.80000E-01  7.91809E-19 -7.72762E-39 -6.92456E-20  1.29221E-12  7.15336E-05 -2.83762E-22 -1.25464E-25  1.78840E-25  6.47080E-15  2.66651E-07 -4.78014E-24 -9.20896E-29  6.21281E-28  3.54357E-16  1.79999E-01  7.91804E-19 -4.05347E-30 -6.92452E-20  1.29221E-12  7.75233E-23  3.98101E-12
     73  0.00000E+00  0.00000E+00  6.24713E-03  3.31455E-20  8.43263E-22  7.71951E-22  3.90327E-02 -7.92132E-03 -2.92528E-02  4.32929E-13  1.80000E-01  7.91809E-19 -7.68710E-39 -6.92456E-20  1.29221E-12  7.07097E-05 -2.83650E-22 -1.33561E-25  1.80502E-25  6.39650E-15  2.61761E-07 -4.76351E-24 -2.16254E-28  7.98223E-28  3.47907E-16  1.79999E-01  7.91804E-19 -4.21982E-30 -6.92452E-20  1.29221E-12  7.35743E-23  3.79455E-12
     74  0.00000E+00  0.00000E+00  6.27858E-03  3.34500E-20  8.76646E-22  8.40255E-22  3.96132E-02 -7.95083E-03 -2.93746E-02  4.25459E-13  1.80000E-01  7.91809E-19 -7.71654E-39 -6.92456E-20  1.29221E-12  6.98960E-05 -2.83468E-22 -1.37744E-25  1.81073E-25  6.32312E-15  2.56993E-07 -4.74165E-24 -1.40221E-28  9.78245E-28  3.41621E-16  1.79999E-01  7.91804E-19 -4.38881E-30 -6.92452E-20  1.29221E-12  7.17624E-23  3.61198E-12
     75  0.00000E+00  0.00000E+00  6.31052E-03  3.37470E-20  9.10788E-22  9.11352E-22  4.01962E-02 -7.97976E-03 -2.94963E-02  4.18447E-13  1.80000E-01  7.91809E-19 -7.78809E-39 -6.92456E-20  1.29221E-12  6.90934E-05 -2.83228E-22 -1.41460E-25  1.79903E-25  6.25073E-15  2.52346E-07 -4.71509E-24 -2.71085E-28  1.11965E-27  3.35499E-16  1.79999E-01  7.91804E-19 -4.56058E-30 -6.92452E-20  1.29221E-12  7.19374E-23  3.43431E-12
     76  0.00000E+00  0.00000E+00  6.34286E-03  3.40342E-20  9.45738E-22  9.84785E-22  4.07777E-02 -8.00750E-03 -2.96172E-02  4.11796E-13  1.80000E-01  7.91809E-19 -7.70647E-39 -6.92456E-20  1.29221E-12  6.83023E-05 -2.82935E-22 -1.47649E-25  1.80088E-25  6.17936E-15  2.47823E-07 -4.68431E-24 -3.41033E-28  1.24869E-27  3.29546E-16  1.79999E-01  7.91804E-19 -4.73544E-30 -6.92452E-20  1.29221E-12  7.19294E-23  3.26237E-12
     77  0.00000E+00  0.00000E+00  6.37567E-03  3.43171E-20  9.81353E-22  1.06051E-21  4.13605E-02 -8.03473E-03 -2.97381E-02  4.05589E-13  1.80000E-01  7.91809E-19 -7.80321E-39 -6.92456E-20  1.29221E-12  6.75219E-05 -2.82591E-22 -1.52929E-25  1.82020E-25  6.10895E-15  2.43415E-07 -4.64942E-24 -3.13742E-28  1.24049E-27  3.23750E-16  1.79999E-01  7.91804E-19 -4.91353E-30 -6.92452E-20  1.29221E-12  6.33021E-23  3.10089E-12
     78  0.00000E+00  0.00000E+00  6.40905E-03  3.46023E-20  1.01767E-21  1.13853E-21  4.19518E-02 -8.06162E-03 -2.98597E-02  3.99921E-13  1.80000E-01  7.91809E-19 -7.70075E-39 -6.92456E-20  1.29221E-12  6.67518E-05 -2.82194E-22 -1.52153E-25  1.81287E-25  6.03946E-15  2.39110E-07 -4.61021E-24 -2.71862E-28  1.32246E-27  3.18088E-16  1.79999E-01  7.91804E-19 -5.09507E-30 -6.92452E-20  1.29220E-12  5.73262E-23  2.96949E-12
     79  0.00000E+00  0.00000E+00  6.44300E-03  3.48909E-20  1.05441E-21  1.21872E-21  4.25523E-02 -8.08812E-03 -2.99818E-02  3.94750E-13  1.80000E-01  7.91809E-19 -7.76865E-39 -6.92456E-20  1.29221E-12  6.59918E-05 -2.81739E-22 -1.50489E-25  1.76929E-25  5.97087E-15  2.34917E-07 -4.56700E-24 -1.65905E-28  1.50264E-27  3.12571E-16  1.79999E-01  7.91803E-19 -5.28008E-30 -6.92452E-20  1.29220E-12  5.34684E-23  2.83659E-12
     80  0.00000E+00  0.00000E+00  6.47733E-03  3.51749E-20  1.09166E-21  1.30094E-21  4.31546E-02 -8.11370E-03 -3.01034E-02  3.89875E-13  1.80000E-01  7.91809E-19 -7.89013E-39 -6.92456E-20  1.29221E-12  6.52425E-05 -2.81237E-22 -1.54902E-25  1.73816E-25  5.90324E-15  2.30843E-07 -4.52053E-24 -9.23067E-29  1.62090E-27  3.07215E-16  1.79999E-01  7.91803E-19 -5.46865E-30 -6.92452E-20  1.29220E-12  5.14055E-23  2.70472E-12
     81  0.00000E+00  0.00000E+00  6.51198E-03  3.54525E-20  1.12940E-21  1.38480E-21  4.37555E-02 -8.13840E-03 -3.02242E-02  3.85233E-13  1.80000E-01  7.91809E-19 -7.90854E-39 -6.92456E-20  1.29221E-12  6.45033E-05 -2.80688E-22 -1.60759E-25  1.73886E-25  5.83651E-15  2.26879E-07 -4.47064E-24 -2.24030E-28  1.59222E-27  3.02003E-16  1.79999E-01  7.91803E-19 -5.66093E-30 -6.92452E-20  1.29220E-12  5.09495E-23  2.57419E-12
     82  0.00000E+00  0.00000E+00  6.54706E-03  3.57312E-20  1.16726E-21  1.47058E-21  4.43605E-02 -8.16275E-03 -3.03448E-02  3.80965E-13  1.80000E-01  7.91809E-19 -7.85508E-39 -6.92456E-20  1.29221E-12  6.37737E-05 -2.80088E-22 -1.58113E-25  1.72345E-25  5.77064E-15  2.23000E-07 -4.41645E-24 -3.05774E-29  1.33019E-27  2.96901E-16  1.79999E-01  7.91803E-19 -5.85695E-30 -6.92452E-20  1.29220E-12  5.21294E-23  2.47786E-12
     83  0.00000E+00  0.00000E+00  6.58259E-03  3.60133E-20  1.20544E-21  1.55815E-21  4.49729E-02 -8.18656E-03 -3.04656E-02  3.77082E-13  1.80000E-01  7.91809E-19 -7.92573E-39 -6.92456E-20  1.29221E-12  6.30538E-05 -2.79434E-22 -1.57200E-25  1.70924E-25  5.70562E-15  2.19206E-07 -4.35784E-24  1.65904E-28  1.14303E-27  2.91904E-16  1.79999E-01  7.91803E-19 -6.05686E-30 -6.92452E-20  1.29220E-12  5.49332E-23  2.38653E-12
     84  0.00000E+00  0.00000E+00  6.61851E-03  3.62950E-20  1.24362E-21  1.64733E-21  4.55898E-02 -8.20963E-03 -3.05864E-02  3.73460E-13  1.80000E-01  7.91809E-19 -7.90194E-39 -6.92456E-20  1.29221E-12  6.23434E-05 -2.78731E-22 -1.58484E-25  1.69784E-25  5.64146E-15  2.15502E-07 -4.29541E-24  6.10068E-28  1.05083E-27  2.87018E-16  1.79999E-01  7.91803E-19 -6.26085E-30 -6.92451E-20  1.29220E-12  5.93417E-23  2.29277E-12
     85  0.00000E+00  0.00000E+00  6.65468E-03  3.65712E-20  1.28206E-21  1.73801E-21  4.62048E-02 -8.23201E-03 -3.07064E-02  3.69981E-13  1.80000E-01  7.91809E-19 -7.82692E-39 -6.92456E-20  1.29221E-12  6.16431E-05 -2.77988E-22 -1.61039E-25  1.71451E-25  5.57820E-15  2.11910E-07 -4.23083E-24  7.98808E-28  9.47819E-28  2.82278E-16  1.79999E-01  7.91803E-19 -6.46876E-30 -6.92451E-20  1.29220E-12  6.60552E-23  2.19856E-12
     86  0.00000E+00  0.00000E+00  6.69108E-03  3.68436E-20  1.32045E-21  1.83030E-21  4.68177E-02 -8.25393E-03 -3.08255E-02  3.66687E-13  1.80000E-01  7.91809E-19 -7.91372E-39 -6.92456E-20  1.29221E-12  6.09526E-05 -2.77206E-22 -1.62122E-25  1.72822E-25  5.51581E-15  2.08413E-07 -4.16400E-24  7.91143E-28  6.04468E-28  2.77662E-16  1.79999E-01  7.91803E-19 -6.68067E-30 -6.92451E-20  1.29220E-12  7.45482E-23  2.10553E-12
     87  0.00000E+00  0.00000E+00  6.72776E-03  3.71148E-20  1.35880E-21  1.92391E-21  4.74305E-02 -8.27548E-03 -3.09439E-02  3.63614E-13  1.80000E-01  7.91809E-19 -8.07903E-39 -6.92456E-20  1.29221E-12  6.02718E-05 -2.76385E-22 -1.60320E-25  1.71659E-25  5.45429E-15  2.05006E-07 -4.09483E-24  9.72838E-28 -9.81373E-30  2.73161E-16  1.79999E-01  7.91803E-19 -6.89658E-30 -6.92451E-20  1.29220E-12  7.92278E-23  2.01484E-12
     88  0.00000E+00  0.00000E+00  6.76473E-03  3.73861E-20  1.39705E-21  2.01908E-21  4.80451E-02 -8.29635E-03 -3.10619E-02  3.60755E-13  1.80000E-01  7.91809E-19 -8.17885E-39 -6.92456E-20  1.29221E-12  5.96008E-05 -2.75527E-22 -1.60599E-25  1.68752E-25  5.39365E-15  2.01682E-07 -4.02313E-24  1.05886E-27 -2.74804E-28  2.68762E-16  1.79999E-01  7.91803E-19 -7.11659E-30 -6.92451E-20  1.29220E-12  9.84644E-23  1.92724E-12
     89  0.00000E+00  0.00000E+00  6.80195E-03  3.76557E-20  1.43532E-21  2.11566E-21  4.86604E-02 -8.31666E-03 -3.11795E-02  3.58064E-13  1.80000E-01  7.91809E-19 -8.31024E-39 -6.92456E-20  1.29221E-12  5.89391E-05 -2.74631E-22 -1.64342E-25  1.72235E-25  5.33384E-15  1.98433E-07 -3.94917E-24  1.01209E-27 -3.71550E-28  2.64459E-16  1.79999E-01  7.91803E-19 -7.34092E-30 -6.92451E-20  1.29220E-12  1.05354E-22  1.84323E-12
     90  0.00000E+00  0.00000E+00  6.83939E-03  3.79236E-20  1.47340E-21  2.21372E-21  4.92754E-02 -8.33674E-03 -3.12963E-02  3.55528E-13  1.80000E-01  7.91809E-19 -8.47298E-39 -6.92456E-20  1.29221E-12  5.82868E-05 -2.73699E-22 -1.62426E-25  1.73234E-25  5.27488E-15  1.95256E-07 -3.87334E-24  9.25630E-28 -6.35776E-28  2.60246E-16  1.79999E-01  7.91803E-19 -7.56966E-30 -6.92451E-20  1.29220E-12  1.08661E-22  1.76307E-12
     91  0.00000E+00  0.00000E+00  6.87708E-03  3.81923E-20  1.51140E-21  2.31299E-21  4.98917E-02 -8.35644E-03 -3.14127E-02  3.53188E-13  1.80000E-01  7.91809E-19 -8.74746E-39 -6.92456E-20  1.29221E-12  5.76435E-05 -2.72729E-22 -1.60870E-25  1.73405E-25  5.21671E-15  1.92142E-07 -3.79557E-24  9.85624E-28 -9.71660E-28  2.56115E-16  1.79999E-01  7.91803E-19 -7.80285E-30 -6.92451E-20  1.29220E-12  1.15700E-22  1.68689E-12
     92  0.00000E+00  0.00000E+00  6.91499E-03  3.84601E-20  1.54929E-21  2.41373E-21  5.05082E-02 -8.37578E-03 -3.15284E-02  3.50982E-13  1.80000E-01  7.91809E-19 -9.09569E-39 -6.92456E-20  1.29221E-12  5.70090E-05 -2.71723E-22 -1.62419E-25  1.76880E-25  5.15935E-15  1.89084E-07 -3.71570E-24  9.53638E-28 -1.01105E-27  2.52052E-16  1.79999E-01  7.91803E-19 -8.04064E-30 -6.92451E-20  1.29220E-12  1.28603E-22  1.61469E-12
     93  0.00000E+00  0.00000E+00  6.95316E-03  3.87293E-20  1.58702E-21  2.51607E-21  5.11275E-02 -8.39474E-03 -3.16438E-02  3.48946E-13  1.80000E-01  7.91809E-19 -9.13912E-39 -6.92456E-20  1.29221E-12  5.63834E-05 -2.70684E-22 -1.66025E-25  1.82020E-25  5.10277E-15  1.86079E-07 -3.63388E-24  7.42921E-28 -9.17895E-28  2.48055E-16  1.79999E-01  7.91802E-19 -8.28379E-30 -6.92451E-20  1.29220E-12  1.49873E-22  1.54640E-12
     94  0.00000E+00  0.00000E+00  6.99156E-03  3.90001E-20  1.62463E-21  2.61997E-21  5.17502E-02 -8.41357E-03 -3.17585E-02  3.47080E-13  1.80000E-01  7.91809E-19 -9.22436E-39 -6.92456E-20  1.29221E-12  5.57660E-05 -2.69611E-22 -1.66914E-25  1.87422E-25  5.04693E-15  1.83131E-07 -3.55076E-24  4.47180E-28 -8.55925E-28  2.44132E-16  1.79999E-01  7.91802E-19 -8.53162E-30 -6.92451E-20  1.29220E-12  1.81953E-22  1.48179E-12
     95  0.00000E+00  0.00000E+00  7.03019E-03  3.92737E-20  1.66224E-21  2.72507E-21  5.23765E-02 -8.43223E-03 -3.18730E-02  3.45404E-13  1.80000E-01  7.91809E-19 -9.36332E-39 -6.92456E-20  1.29221E-12  5.51566E-05 -2.68506E-22 -1.70937E-25  1.94091E-25  4.99180E-15  1.80233E-07 -3.46643E-24  5.64185E-30 -7.95931E-28  2.40274E-16  1.79999E-01  7.91802E-19 -8.78424E-30 -6.92451E-20  1.29220E-12  2.25898E-22  1.42067E-12
     96  0.00000E+00  0.00000E+00  7.06903E-03  3.95493E-20  1.69978E-21  2.83144E-21  5.30062E-02 -8.45085E-03 -3.19870E-02  3.43891E-13  1.80000E-01  7.91809E-19 -9.71858E-39 -6.92456E-20  1.29221E-12  5.45548E-05 -2.67368E-22 -1.74176E-25  1.96984E-25  4.93736E-15  1.77376E-07 -3.38077E-24 -3.61927E-28 -8.68587E-28  2.36468E-16  1.79999E-01  7.91802E-19 -9.04176E-30 -6.92451E-20  1.29220E-12  2.82703E-22  1.36285E-12
     97  0.00000E+00  0.00000E+00  7.10806E-03  3.98261E-20  1.73719E-21  2.93913E-21  5.36386E-02 -8.46933E-03 -3.21003E-02  3.42513E-13  1.80000E-01  7.91809E-19 -1.00702E-38 -6.92456E-20  1.29221E-12  5.39605E-05 -2.66200E-22 -1.71771E-25  1.97209E-25  4.88359E-15  1.74557E-07 -3.29367E-24 -4.55437E-28 -9.22813E-28  2.32711E-16  1.79999E-01  7.91802E-19 -9.30427E-30 -6.92451E-20  1.29220E-12  3.29096E-22  1.30818E-12
     98  0.00000E+00  0.00000E+00  7.14727E-03  4.01052E-20  1.77444E-21  3.04816E-21  5.42760E-02 -8.48758E-03 -3.22132E-02  3.41292E-13  1.80000E-01  7.91809E-19 -1.01856E-38 -6.92456E-20  1.29221E-12  5.33738E-05 -2.65003E-22 -1.68824E-25  1.97735E-25  4.83050E-15  1.71775E-07 -3.20555E-24 -5.57030E-28 -8.93051E-28  2.29002E-16  1.79999E-01  7.91802E-19 -9.57292E-30 -6.92451E-20  1.29220E-12  3.60866E-22  1.25656E-12
     99  0.00000E+00  0.00000E+00  7.18665E-03  4.03859E-20  1.81159E-21  3.15846E-21  5.49178E-02 -8.50586E-03 -3.23256E-02  3.40196E-13  1.80000E-01  7.91809E-19 -1.03278E-38 -6.92456E-20  1.29221E-12  5.27944E-05 -2.63780E-22 -1.71903E-25  1.98550E-25  4.77807E-15  1.69035E-07 -3.11690E-24 -6.77434E-28 -8.99727E-28  2.25350E-16  1.79999E-01  7.91802E-19 -9.84667E-30 -6.92451E-20  1.29220E-12  3.92332E-22  1.20782E-12
    100  0.00000E+00  0.00000E+00  7.22617E-03  4.06677E-20  1.84880E-21  3.27005E-21  5.55632E-02 -8.52399E-03 -3.24372E-02  3.39211E-13  1.80000E-01  7.91809E-19 -1.04827E-38 -6.92456E-20  1.29221E-12  5.22224E-05 -2.62530E-22 -1.68555E-25  1.99893E-25  4.72630E-15  1.66334E-07 -3.02785E-24 -6.08370E-28 -9.46257E-28  2.21751E-16  1.79999E-01  7.91802E-19 -1.01256E-29 -6.92451E-20  1.29220E-12  5.20754E-22  1.16182E-12
